Gordo
Jamonete
Tocinete
Falete
hipopotamo
cachalote
gordinflón
elefante
foca monje
grueso
abultado
adiposo
ancho
atocinado
ballena
barrigón
barrigudo
cachalote
cebado
Cerdo
corpulento
destacado
Elefante
enorme
Foca monje
fornido
fuerte
golitrón
gordinflas
gordo
gordura
grande
grasa 
graso
grasoso
grave
hinchado
Hipopotamo
importante
inflado
lardo
lípido
manteca
mantequilla
michelín
notable
León Marino
obeso
orondo
panza
panzudo
rechoncho
recia
recio
regordete
robusto
rollizo
sebo
sonado
Tocinete
tocino
Tragaldabas
trascendental
trascendente
tripa
tripudo
unto
Foca
vigoroso
voluminoso
zampabollos
Pelota
Gorrino
Jamonete
Falete
Puerco
cerdo
foca
